song_name,artist_name,album_names,playlist
Viva La Vida,Coldplay,Viva La Vida Or Death And All His Friends,Songs to Sing in the Shower
Shake It Off,Taylor Swift,1989 (Deluxe Edition),Songs to Sing in the Shower
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,Songs to Sing in the Shower
Africa,Toto,Milestones - Toto,Songs to Sing in the Shower
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,Saturday Night Fever [The Original Movie Soundtrack],Songs to Sing in the Shower
Rehab,Amy Winehouse,Back To Black,Songs to Sing in the Shower
Call Me Maybe,Carly Rae Jepsen,Kiss,Songs to Sing in the Shower
Love Yourself,Justin Bieber,Purpose (Deluxe),Songs to Sing in the Shower
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),Songs to Sing in the Shower
Believe,Cher,Believe,Songs to Sing in the Shower
Hey There Delilah,Plain White T's,Every Second Counts,Songs to Sing in the Shower
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Songs to Sing in the Shower
A Thousand Miles,Vanessa Carlton,Best Of,Songs to Sing in the Shower
"Ob-La-Di, Ob-La-Da - Remastered",The Beatles,The Beatles (Remastered),Songs to Sing in the Shower
I Believe In Love,Jessie J,R.O.S.E. (Empowerment),Soul Coffee
Get You - Recorded at Spotify Studios NYC,Miguel,Spotify Singles,Soul Coffee
I Can't Help It,Michael Jackson,Off the Wall,Soul Coffee
Half Time,Amy Winehouse,Lioness: Hidden Treasures,Soul Coffee
Tomorrow,The Roots,...and then you shoot your cousin,Soul Coffee
Liberation (with Cee-Lo),OutKast,Aquemini,Soul Coffee
I'm In Love,Mary J. Blige,Mary (Limited Edition Bonus Pack),Soul Coffee
Drowndeep: Hula,Maxwell,Embrya,Soul Coffee
GDFR (feat. Sage The Gemini & Lookas),Flo Rida,GDFR (feat. Sage The Gemini & Lookas),Spin Class
Blame,Calvin Harris,Motion,Spin Class
Sugar,Maroon 5,V (Deluxe),Spin Class
Hey Brother,Avicii,TRUE,Spin Class
Summer,Calvin Harris,Summer,Spin Class
Centuries,Fall Out Boy,American Beauty/American Psycho,Spin Class
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Spin Class
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,Spin Class
Talk Dirty (feat. 2 Chainz),Jason Derulo,Tattoos,Spin Class
Recess,Skrillex,Recess,Spin Class
Dark Horse,Katy Perry,PRISM (Deluxe),Spin Class
Work B**ch,Britney Spears,Britney Jean (Deluxe Version),Spin Fit
What Do You Mean?,Justin Bieber,What Do You Mean?,Spin Fit
Animals,Maroon 5,V (Deluxe),Spin Fit
Waiting For Love,Avicii,Waiting For Love,Spin Fit
Want to Want Me,Jason Derulo,Want To Want Me,Spin Fit
Firework,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Spin Fit
Summer Love,Justin Timberlake,FutureSex/LoveSounds,Spin Fit
Locked Out Of Heaven,Bruno Mars,Unorthodox Jukebox,Spin Fit
GDFR (feat. Sage The Gemini & Lookas),Flo Rida,GDFR (feat. Sage The Gemini & Lookas),Spin Fit
Your Love Is My Drug,Kesha,Animal,Spin Fit
Waiting For Love,Avicii,Waiting For Love,Spin Fit
All About That Bass,Meghan Trainor,Title (Deluxe),Spin Fit
Love Runs Out,OneRepublic,Native,Spin Fit
Brand New,Pharrell Williams,G I R L,Spin Fit
Praise The Lord (Da Shine),A$AP Rocky,TESTING,State of Mind
Barbie Dreams,Nicki Minaj,Queen,State of Mind
The Return,Logic,The Return,State of Mind
Rich Sex (feat. Lil Wayne),Nicki Minaj,Rich Sex (feat. Lil Wayne),State of Mind
Bruce Wayne,Fetty Wap,Bruce Wayne,State of Mind
Attention,Fat Joe,Attention,State of Mind
Buck Shots,A$AP Rocky,TESTING,State of Mind
Fukk Sleep,A$AP Rocky,TESTING,State of Mind
Ho Hey,The Lumineers,The Lumineers,Stay Wild
Alaska,Maggie Rogers,Alaska,Stay Wild
Scotland,The Lumineers,C-Sides,Stay Wild
Little Lion Man,Mumford & Sons,Sigh No More,Stay Wild
The Cave,Mumford & Sons,Sigh No More,Stay Wild
STOOPID,6ix9ine,STOOPID,Straight Off The Porch
Lucid Dreams,Juice WRLD,Lucid Dreams,Straight Off The Porch
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),Straight Off The Porch
Way Down We Go,Kaleo,Way Down We Go,Swagger
No Good,Kaleo,No Good,Swagger
Heavy Is the Head,Zac Brown Band,Heavy Is The Head,Swagger
All Girls Are The Same,Juice WRLD,All Girls Are The Same,Tear Drop
Lies (feat. Lil Skies),Lil Xan,Lies (feat. Lil Skies),Tear Drop
Betrayed,Lil Xan,Betrayed,Tear Drop
Wasted (feat. Lil Uzi Vert),Juice WRLD,Wasted (feat. Lil Uzi Vert),Tear Drop
Lean Wit Me,Juice WRLD,Goodbye & Good Riddance,Tear Drop
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),Teen Party
Without Me,Halsey,Without Me,Teen Party
Better Now,Post Malone,beerbongs & bentleys,Teen Party
Girls Like You (feat. Cardi B),Maroon 5,Girls Like You (feat. Cardi B),Teen Party
Level Up,Ciara,Level Up,Teen Party
Delicate,Taylor Swift,reputation,Teen Party
Work,Rihanna,ANTI,Teen Party
Swish Swish,Katy Perry,Witness (Deluxe),Teen Party
Better,Khalid,Better,Teen Party
I Like It,Cardi B,Invasion of Privacy,Teen Party
Back To You,Selena Gomez,13 Reasons Why (Season 2),Teen Party
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),Teen Party
Lost In Japan - Remix,Shawn Mendes,Lost In Japan (Remix),Teen Party
Raise Your Glass,P!nk,Raise Your Glass,Teen Party
Dimple,BTS,Love Yourself 結 'Answer',Teen Party
Light On,Maggie Rogers,Light On,Teen Party
Amor Prohibido,Selena,La Leyenda (Version Super Deluxe),Tejano Classics
El Chico Del Apartamento 512,Selena,La Leyenda (Version Super Deluxe),Tejano Classics
Fotos Y Recuerdos,Selena,Amor Prohibido,Tejano Classics
Como La Flor,Selena,Mis Mejores Canciones: 17 Super Exitos,Tejano Classics
Si Una Vez,Selena,Amor Prohibido,Tejano Classics
Bidi Bidi Bom Bom,Selena,La Leyenda (Version Super Deluxe),Tejano Classics
"""40"" - Live Version 1983",U2,Under A Blood Red Sky,The '80s All Lined Up
Toxic,Britney Spears,Greatest Hits: My Prerogative,The Britney Body Workout
It's Gonna Be Me,*NSYNC,No Strings Attached,The Britney Body Workout
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),The Britney Body Workout
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,The Britney Body Workout
I'm a Slave 4 U,Britney Spears,Britney,The Britney Body Workout
Bye Bye Bye,*NSYNC,No Strings Attached,The Britney Body Workout
Get The Party Started,P!nk,M!ssundaztood,The Britney Body Workout
Stronger,Britney Spears,Oops!... I Did It Again,The Britney Body Workout
HUMBLE.,Kendrick Lamar,DAMN.,The GRAMMYs Official Playlist
Green Light,Lorde,Melodrama,The GRAMMYs Official Playlist
24K Magic,Bruno Mars,24K Magic,The GRAMMYs Official Playlist
1-800-273-8255,Logic,Everybody,The GRAMMYs Official Playlist
That's What I Like,Bruno Mars,24K Magic,The GRAMMYs Official Playlist
Location,Khalid,Location,The GRAMMYs Official Playlist
Praying,Kesha,Praying,The GRAMMYs Official Playlist
Million Reasons,Lady Gaga,Joanne (Deluxe),The GRAMMYs Official Playlist
What About Us,P!nk,Beautiful Trauma,The GRAMMYs Official Playlist
Feel It Still,Portugal. The Man,Woodstock,The GRAMMYs Official Playlist
Miracles (Someone Special),Coldplay,Kaleidoscope EP,The GRAMMYs Official Playlist
Love,Lana Del Rey,Lust For Life,The GRAMMYs Official Playlist
Praying,Kesha,Rainbow,The GRAMMYs Official Playlist
Hardwired,Metallica,Hardwired…To Self-Destruct,The GRAMMYs Official Playlist
Run,Foo Fighters,Concrete and Gold,The GRAMMYs Official Playlist
No Good,Kaleo,A/B,The GRAMMYs Official Playlist
Starboy,The Weeknd,Starboy,The GRAMMYs Official Playlist
Bodak Yellow,Cardi B,Bodak Yellow,The GRAMMYs Official Playlist
DNA.,Kendrick Lamar,DAMN.,The GRAMMYs Official Playlist
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,The GRAMMYs Official Playlist
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,The GRAMMYs Official Playlist
Who Dat Boy,"Tyler, The Creator",Flower Boy,The GRAMMYs Official Playlist
Your Song,Lady Gaga,Revamp: The Songs Of Elton John & Bernie Taupin,The Piano Lounge
Tiny Dancer,Elton John,Madman Across The Water,The Piano Lounge
Piano Man,Billy Joel,The Essential Billy Joel,The Piano Lounge
Thunder Road,Bruce Springsteen,Born To Run,The Piano Lounge
The Scientist,Coldplay,A Rush Of Blood To The Head,The Piano Lounge
Candle In The Wind,Elton John,Rocket Man (Deluxe Edition),The Piano Lounge
She's Always a Woman,Billy Joel,The Stranger (Legacy Edition),The Piano Lounge
How to Save a Life,The Fray,How To Save A Life,The Piano Lounge
Someone Like You,Adele,21,The Piano Lounge
PASS OUT (feat. 21 Savage),Quavo,QUAVO HUNCHO,The Realest Down South
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),The Realest Down South
WORKIN ME,Quavo,W O R K I N M E,The Realest Down South
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,Tha Carter V,The Realest Down South
"If I'm Lyin, I'm Flyin",Kodak Black,"If I'm Lyin, I'm Flyin",The Realest Down South
WIFI LIT,Future,BEASTMODE 2,The Realest Down South
YOSEMITE,Travis Scott,ASTROWORLD,The Realest Down South
Let It Fly (feat. Travis Scott),Lil Wayne,Tha Carter V,The Realest Down South
Chuki Fever,Tech N9ne,Chuki Fever / H.O.B.,The Realest Down South
LAMB TALK,Quavo,L A M B T A L K,The Realest Down South
CAROUSEL,Travis Scott,ASTROWORLD,The Realest Down South
Album of the Year - Freestyle,J. Cole,Album of the Year (Freestyle),The Realest Down South
STARGAZING,Travis Scott,ASTROWORLD,The Realest Down South
Bigger Than You (feat. Drake & Quavo),2 Chainz,Bigger Than You feat. Drake & Quavo,The Realest Down South
31 DAYS,Future,BEASTMODE 2,The Realest Down South
I Love It (& Lil Pump),Kanye West,I Love It,The Rhythm & Beats
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),The Rhythm & Beats
Dose,Ciara,Dose,The Rhythm & Beats
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),The Rhythm & Beats
I Like It,Cardi B,Invasion of Privacy,The Rhythm & Beats
Level Up,Ciara,Level Up,The Rhythm & Beats
Better Now,Post Malone,beerbongs & bentleys,The Rhythm & Beats
Ring (feat. Kehlani),Cardi B,Invasion of Privacy,The Rhythm & Beats
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),The Rhythm & Beats
Bruce Wayne,Fetty Wap,Bruce Wayne,The Rhythm & Beats
imagine if,gnash,imagine if,The Rhythm & Beats
Bad Company,A$AP Rocky,Bad Company,This Is A$AP Mob
Canal St.,A$AP Rocky,AT.LONG.LAST.A$AP,This Is A$AP Mob
LVL,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),This Is A$AP Mob
Hell,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),This Is A$AP Mob
Wavybone,A$AP Rocky,AT.LONG.LAST.A$AP,This Is A$AP Mob
Always On Time,Ja Rule,Pain Is Love,Throwback Workout
Yeah!,Usher,Confessions (Special Edition),Throwback Workout
In Da Club,50 Cent,Get Rich Or Die Tryin',Throwback Workout
Gold Digger,Kanye West,Late Registration,Throwback Workout
Work It,Missy Elliott,Under Construction,Throwback Workout
Ride Wit Me,Nelly,Country Grammar,Throwback Workout
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,Throwback Workout
Run It!,Chris Brown,Chris Brown,Throwback Workout
Dirt Off Your Shoulder,JAY Z,The Black Album,Throwback Workout
"One, Two Step",Ciara,Goodies,Throwback Workout
Smack That,Akon,Konvicted,Throwback Workout
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,The Cookbook,Throwback Workout
A Milli,Lil Wayne,Tha Carter III,Throwback Workout
Buy U a Drank (Shawty Snappin'),T-Pain,Epiphany,Throwback Workout
It Wasn't Me,Shaggy,The Boombastic Collection - Best of Shaggy,Throwback Workout
Hypnotize,The Notorious B.I.G.,Greatest Hits (Explicit Version),Throwback Workout
Can't Tell Me Nothing,Kanye West,Graduation,Throwback Workout
Mesmerize,Ja Rule,The Last Temptation,Throwback Workout
All Falls Down,Kanye West,The College Dropout,Throwback Workout
P.I.M.P.,50 Cent,Get Rich Or Die Tryin',Throwback Workout
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,Throwback Workout
Country Grammar (Hot Shit),Nelly,Country Grammar,Throwback Workout
Without Me,Eminem,The Eminem Show,Throwback Workout
Let Me Blow Ya Mind,Eve,Scorpion,Throwback Workout
The Next Episode,Dr. Dre,2001,Throwback Workout
Hot In Herre,Nelly,Nellyville,Throwback Workout
Get Ur Freak On,Missy Elliott,Miss E...So Addictive,Throwback Workout
SexyBack,Justin Timberlake,FutureSex/LoveSounds,Throwback Workout
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,Jealous Ones Still Envy (J.O.S.E),Throwback Workout
Move Ya Body,Nina Sky,Nina Sky,Throwback Workout
The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,Speakerboxxx/The Love Below,Throwback Workout
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,Throwback Workout
Hustlin',Rick Ross,Port Of Miami,Throwback Workout
Roses,OutKast,Speakerboxxx/The Love Below,Throwback Workout
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,Throwback Workout
Hard Knock Life (Ghetto Anthem),JAY Z,Vol.2 ... Hard Knock Life,Throwback Workout
'Till I Collapse,Eminem,The Eminem Show,Throwback Workout
Family Affair,Mary J. Blige,Family Affair (Remixes),Throwback Workout
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,Throwback Workout
Culo,Lil Jon,M.I.A.M.I.,Throwback Workout
Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),ThrowbackThursday
Free Fallin',Tom Petty,Full Moon Fever,ThrowbackThursday
Carolina In My Mind,James Taylor,Greatest Hits,ThrowbackThursday
Conga,Gloria Estefan,Greatest Hits,Throwback_ Latin Explosion
"Whenever, Wherever",Shakira,Laundry Service,Throwback_ Latin Explosion
"La Copa de la Vida (La Cancion Oficial de la Copa Mundial, Francia '98) - Spanglish Radio Edit",Ricky Martin,Ricky Martin,Throwback_ Latin Explosion
Move Ya Body,Nina Sky,Nina Sky,Throwback_ Latin Explosion
Livin' la Vida Loca,Ricky Martin,Ricky Martin,Throwback_ Latin Explosion
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),Throwback_ Latin Explosion
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,Throwback_ Latin Explosion
Eyes Like Yours (Ojos Así),Shakira,Laundry Service,Throwback_ Latin Explosion
Shake Your Bon-Bon,Ricky Martin,Ricky Martin,Throwback_ Latin Explosion
Culo,Lil Jon,M.I.A.M.I.,Throwback_ Latin Explosion
Bidi Bidi Bom Bom,Selena,La Leyenda (Version Super Deluxe),Throwback_ Latin Explosion
Nobody Wants to Be Lonely - Ricky Martin with Christina Aguilera,Ricky Martin,17,Throwback_ Latin Explosion
Oye,Gloria Estefan,gloria!,Throwback_ Latin Explosion
Underneath Your Clothes,Shakira,Laundry Service,Throwback_ Latin Explosion
Get On Your Feet,Gloria Estefan,Greatest Hits,Throwback_ Latin Explosion
Without Me,Halsey,Without Me,Today's Top Hits
Shallow - Radio Edit,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),Today's Top Hits
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),Today's Top Hits
Better,Khalid,Better,Today's Top Hits
Consequences - orchestra,Camila Cabello,Consequences (orchestra),Today's Top Hits
Suncity (feat. Empress Of),Khalid,Suncity,Today's Top Hits
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),Today's Top Hits
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),Today's Top Hits
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),Today's Top Hits
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),Today's Top Hits
My Blood,Twenty One Pilots,Trench,Today's Top Hits
Look What I Found,Lady Gaga,A Star Is Born Soundtrack,Today's Top Hits
PASS OUT (feat. 21 Savage),Quavo,QUAVO HUNCHO,Today's Top Hits
Lost In Japan - Remix,Shawn Mendes,Lost In Japan (Remix),Today's Top Hits
My Blood,Twenty One Pilots,My Blood And A Few Others From Trench,Tomorrow's Hits
More Than Friends (feat. Meghan Trainor),Jason Mraz,Know.,Tomorrow's Hits
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),Tomorrow's Hits
Level Up,Ciara,Level Up,Tomorrow's Hits
I'm a Mess,Bebe Rexha,I'm a Mess,Tomorrow's Hits
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),Tomorrow's Hits
Black Skinhead,Kanye West,Yeezus,Ultimate Pump Up
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,Ultimate Pump Up
Push It,Rick Ross,Port Of Miami,Ultimate Pump Up
Stronger,Kanye West,Graduation,Ultimate Pump Up
The Devil Is A Lie,Rick Ross,The Devil Is A Lie,Ultimate Pump Up
Mercy,Kanye West,Mercy,Ultimate Pump Up
Sanctified,Rick Ross,Mastermind (Deluxe),Ultimate Pump Up
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),United States Top 50
Fine China,Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),United States Top 50
SICKO MODE,Travis Scott,ASTROWORLD,United States Top 50
Better,Khalid,Suncity,United States Top 50
Without Me,Halsey,Without Me,United States Top 50
Vertigo,Khalid,Suncity,United States Top 50
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,United States Top 50
Jet Lag (feat. Young Scooter),Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Suncity (feat. Empress Of),Khalid,Suncity,United States Top 50
Shallow,Lady Gaga,A Star Is Born Soundtrack,United States Top 50
Astronauts,Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Nonstop,Drake,Scorpion,United States Top 50
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),United States Top 50
Better Now,Post Malone,beerbongs & bentleys,United States Top 50
Saturday Nights,Khalid,Suncity,United States Top 50
Red Bentley (feat. Young Thug),Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
I Love It (& Lil Pump),Kanye West,I Love It,United States Top 50
Make It Back,Juice WRLD,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Hard Work Pays Off,Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,Tha Carter V,United States Top 50
Oxy (feat. Lil Wayne),Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
7 Am Freestyle,Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
STOOPID,6ix9ine,STOOPID,United States Top 50
Taste (feat. Offset),Tyga,Taste (feat. Offset),United States Top 50
Motion,Khalid,Suncity,United States Top 50
In My Feelings,Drake,Scorpion,United States Top 50
Transformer (feat. Nicki Minaj),Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
9.13,Khalid,Suncity,United States Top 50
Realer N Realer,Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Different (feat. Yung Bans),Future,Future & Juice WRLD Present... WRLD ON DRUGS,United States Top 50
Better,Khalid,Suncity,United States Viral 50
I Love It (& Lil Pump),Kanye West,I Love It,United States Viral 50
SICKO MODE,Travis Scott,ASTROWORLD,United States Viral 50
Alright,Kendrick Lamar,To Pimp A Butterfly,Urban Poet
Yonkers,"Tyler, The Creator",Goblin (Deluxe Edition),Urban Poet
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",Urban Poet
The Seed (2.0),The Roots,Phrenology,Urban Poet
Brillo,J Balvin,Vibras,Vibras
Sola,Jessie Reyez,Sola,Vibras
SICKO MODE,Travis Scott,ASTROWORLD,Viral Hits
WORKIN ME,Quavo,W O R K I N M E,Viral Hits
Barbie Dreams,Nicki Minaj,Queen,Viral Hits
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),Viral Hits
LAMB TALK,Quavo,L A M B T A L K,Viral Hits
Majesty (with Labrinth & feat. Eminem),Nicki Minaj,Queen,Viral Hits
BEBE,6ix9ine,BEBE,Viva Latino
No Es Justo,J Balvin,Vibras,Viva Latino
Clandestino,Shakira,Clandestino,Viva Latino
I Like It,Cardi B,Invasion of Privacy,Viva Latino
Dura - Remix,Daddy Yankee,Dura (Remix),Viva Latino
Zum Zum,Daddy Yankee,Zum Zum,Viva Latino
California Gurls,Katy Perry,Teenage Dream,Wa-oh-wa-oh!
Ride,Twenty One Pilots,Blurryface,Wa-oh-wa-oh!
Live While We're Young,One Direction,Take Me Home: Yearbook Edition,Wa-oh-wa-oh!
Good Time,Owl City,The Midsummer Station,Wa-oh-wa-oh!
Ho Hey,The Lumineers,The Lumineers (Deluxe Edition),Wa-oh-wa-oh!
Turn Up the Music,Chris Brown,Dancefloor Summer Hits 2012,Wa-oh-wa-oh!
She's My Winona,Fall Out Boy,Folie à Deux,Wa-oh-wa-oh!
Right Now,Nick Jonas,Right Now,Wake Up Happy
Nevermind,Dennis Lloyd,Nevermind,Wake Up Happy
Connection,OneRepublic,Connection,Wake Up Happy
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),Wake Up Happy
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),Wake Up Happy
Remind Me to Forget,Kygo,Remind Me to Forget,Wake Up Happy
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),Wake Up Happy
NO EXCUSES,Meghan Trainor,NO EXCUSES,Wake Up Happy
Cheyenne,Jason Derulo,Cheyenne,Wake Up Sweating
She Came II Give It II U,Usher,She Came II Give It II U,Wake Up Sweating
Rock Your Body,Justin Timberlake,Justified,Wake Up Sweating
Peaches N Cream,Snoop Dogg,Peaches N Cream,Wake Up Sweating
Teenagers,My Chemical Romance,The Black Parade,Walk Like A Badass
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",Walk Like A Badass
Can't Stop,Red Hot Chili Peppers,By The Way (Deluxe Version),Walk Like A Badass
No Good,Kaleo,No Good,Walk Like A Badass
The Last Of The Real Ones,Fall Out Boy,The Last Of The Real Ones,Walk Like A Badass
Fancy,Iggy Azalea,The New Classic (Deluxe Version),Way Back Workout
Gold Digger,Kanye West,Late Registration,Way Back Workout
All The Small Things,blink-182,Enema Of The State,Way Back Workout
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Hands All Over (Deluxe),Way Back Workout
Ice Ice Baby,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,Way Back Workout
Just Dance,Lady Gaga,The Fame,Way Back Workout
In Da Club,50 Cent,Get Rich Or Die Tryin',Way Back Workout
Sexy And I Know It,LMFAO,Sorry For Party Rocking (Deluxe Version),Way Back Workout
The Sweet Escape,Gwen Stefani,The Sweet Escape (International Version),Way Back Workout
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,Way Back Workout
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),Way Back Workout
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,Way Back Workout
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,Way Back Workout
Eenie Meenie,Justin Bieber,My World 2.0,Way Back Workout
California Gurls,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Way Back Workout
U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,Way Back Workout
TiK ToK,Kesha,Animal,Way Back Workout
Promiscuous,Nelly Furtado,Loose,Way Back Workout
Low (feat T-Pain),Flo Rida,Mail On Sunday,Way Back Workout
Super Bass,Nicki Minaj,Pink Friday (Deluxe),Way Back Workout
Stronger,Kanye West,Graduation,Way Back Workout
Bad Romance,Lady Gaga,The Fame Monster,Way Back Workout
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,Way Back Workout
Shut Up And Drive,Rihanna,Good Girl Gone Bad: Reloaded,Way Back Workout
Drogba (Joanna) (feat. Wizkid),Afro B,Drogba (Joanna) (feat. Wizkid),We Everywhere
Better,Khalid,Better,Weekend Hangouts
Born To Be Yours,Kygo,Born To Be Yours,Weekend Hangouts
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),Weekend Hangouts
Alone (Calvin Harris Remix) (Feat. Stefflon Don),Halsey,Alone (Calvin Harris Remix) (Feat. Stefflon Don),Weekend Hangouts
Betrayed,Lil Xan,Betrayed,Wild Cards_ Winter Mix
Split Stones,Maggie Rogers,Split Stones,Wild Cards_ Winter Mix
Havana,Camila Cabello,Camila,Women of Pop
Bang Bang,Jessie J,Sweet Talker (Deluxe Version),Women of Pop
Work,Rihanna,ANTI (Deluxe),Women of Pop
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),Women of Pop
Delicate,Taylor Swift,reputation,Women of Pop
Send My Love (To Your New Lover),Adele,25,Women of Pop
I'm a Mess,Bebe Rexha,Expectations,Women of Pop
Royals,Lorde,Pure Heroine,Women of Pop
Bad Liar,Selena Gomez,Bad Liar,Women of Pop
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),Women of Pop
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,Women of Pop
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,Women of Pop
Roar,Katy Perry,PRISM (Deluxe),Women of Pop
Back To Black,Amy Winehouse,Back To Black,Women of Pop
Praying,Kesha,Rainbow,Women of Pop
Million Reasons,Lady Gaga,Million Reasons,Women of Pop
NO EXCUSES,Meghan Trainor,NO EXCUSES,Women of Pop
"Whenever, Wherever",Shakira,Laundry Service,Women of Pop
"One, Two Step",Ciara,Goodies,Women of Pop
Try,P!nk,The Truth About Love,Women of Pop
Love,Lana Del Rey,Lust For Life,Women of Pop
Candy,Mandy Moore,So Real,Women of Pop
Give A Little,Maggie Rogers,Give A Little,Women of Pop
Foolish Games,Jewel,Pieces Of You,Women of Pop
Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,All Your Fault: Pt. 1,Workday_ Pop
Good Life (with G-Eazy & Kehlani),G-Eazy,Good Life (with G-Eazy & Kehlani),Workday_ Pop
Attention,Charlie Puth,Attention,Workday_ Pop
The Cure,Lady Gaga,The Cure,Workday_ Pop
